project,unit,type,owner,parent,countries,status_tabular,start_year,capacity,production,units,geom,lat,lng,route,url,status
Soku-Rumuji Gas Pipeline,,gas_pipeline,,Nigerian National Petroleum Corporation [49.00%]; Shell [25.60%]; TotalEnergies Gaz & Electricité​ Holdings [15.00%]; Eni International NA NV SARL [unknown %],Nigeria,operating,,6.2,,bcm/y,line,nan,nan,"4.678397767333637,6.68242962286816:4.942555606186712,6.779594448147763",https://www.gem.wiki/Soku-Rumuji_gas_pipeline,operating
Songas Pipeline,,gas_pipeline,,Unknown [unknown %],Tanzania,operating,2,105,,MMcf/d,line,nan,nan,"-8.505911981257078,39.49601183256321:-8.479521607042177,39.253166099671226:-8.300187238112539,39.16527547531856:-7.8297294178785695,39.18038167637918:-6.793658057526867,39.20844122726965:-6.662453353105789,39.16771907273356",https://www.gem.wiki/Songas_Pipeline,operating
Sougueur-Arzew Gas Pipeline,,gas_pipeline,,Sonatrach [100.00%],Algeria,operating,,,,,line,nan,nan,"35.1839342,1.4968627:35.3447,1.3004:35.727,0.7192:35.6148,-0.0411:35.8093,-0.2617",https://www.gem.wiki/Sougueur-Arzew_gas_pipeline,operating
Sougueur-Hadjret En Nouss Gas Pipeline,,gas_pipeline,,Sonatrach [100.00%],Algeria,operating,,,,,line,nan,nan,"35.19,1.505:35.38,2.387:35.693,2.81:36.47,2.554:36.565,2.241:36.515,2.106:36.573,2.057",https://www.gem.wiki/Sougueur%E2%80%93Hadjret_En_Nouss_gas_pipeline,operating
South Tunisia Gas Project Pipeline,,gas_pipeline,,Entreprise Tunisienne d'Activités Pétrolières [50.00%]; OMV Group [50.00%],Tunisia,operating,2,3.65,,bcm/y,line,nan,nan,"30.9884,10.0333:31.56,9.77:33.29,9.68:34.328,10.097:34.325,10.132",https://www.gem.wiki/South_Tunisia_Gas_Project_pipeline,operating
South Valley Gas Pipeline,,gas_pipeline,,Egyptian Natural Gas Holding Company [100.00%],Egypt,operating,2,12,,bcm/y,line,nan,nan,"29.8141,31.2226:29.813,31.1769:29.72,31.17:29.68,31.42:29.38,31.32:28.59,31.01:28.2,30.97:28.13,30.52:27.7,30.62:27.34,30.69:27.2,31:26.53,31.57:25.93,32.18:26.11,32.66:25.83,32.68:25.66,32.42:25.23,32.51:24.94,32.61:24.92,32.64:24.04,32.83:24.02,32.86",https://www.gem.wiki/South_Valley_Gas_Pipeline,operating
Tanzania–Kenya Gas Pipeline,,gas_pipeline,,Government of Kenya [unknown %]; Government of Tanzania [unknown %],"Tanzania, Kenya",proposed,,,,,line,nan,nan,"-6.791832044109423,39.200847394550884:-6.714330364833297,38.78829176886063:-5.949984988240539,38.17305740202965:-4.615376632838709,38.612510521194636:-4.042377610581146,39.673126602299256",https://www.gem.wiki/Tanzania%E2%80%93Kenya_Gas_Pipeline,proposed_plus
Tendrara Export Pipeline,,gas_pipeline,,Transgaz [100.00%],Morocco,proposed,,,,,line,nan,nan,"33.050155,-2.000753:34.025084,-1.990135",https://www.gem.wiki/Tendrara_Export_Pipeline,proposed_plus
Tidikelt-Tamenrasset Gas Pipeline,,gas_pipeline,,Government of Togo [100.00%],Algeria,operating,2,700,,MMcf/d,line,nan,nan,"25.456563,2.01098:25.410943,2.065706:25.393197,2.133061:25.309503,2.423529:25.296817,2.492287:25.251136,2.663481:25.207978,2.809417:25.194011,2.865546:25.122885,3.006571:25.03519,3.083748:24.977964,3.130055:24.941071,3.152506:24.878709,3.184781:24.811221,3.2367:24.779375,3.277394:24.713745,3.359483:24.634688,3.453499:24.618105,3.499805:24.563239,3.578386:24.503241,3.680822:24.45088,3.788871:24.38316,3.920774:24.30901,4.086355:24.294943,4.129855:24.288548,4.171952:24.257208,4.24948:24.245693,4.298593:24.221381,4.356126:24.176584,4.458562:24.140735,4.52311:24.074131,4.645191:24.015184,4.70974:23.956209,4.774288:23.94595,4.799546:23.911319,4.826208:23.732888,4.962321:23.686635,4.979159:23.581222,5.019853:23.461564,5.078789:23.402339,5.133515:23.315384,5.205781:23.216122,5.312426:23.174848,5.376975:23.125819,5.448539:23.107751,5.506072:23.0871,5.546766:23.04966,5.639379:22.99671,5.809169",https://www.gem.wiki/Tidikelt-Tamenrasset_Gas_Pipeline,operating
Trans Nigeria Gas Pipeline,Phase 2 (Qua lboe Terminal–Cawthorne Channel) and Phase 3 (Oyigbo–Ajaokuta),gas_pipeline,,Nigerian National Petroleum Corporation [100.00%],Nigeria,proposed,,3.5,,bcm/y,line,nan,nan,"4.548843,8.009291:4.886498,7.125106;4.886498,7.125106:5.52455,7.491902:6.456281,7.54568:7.537941,6.641063:9.085473,7.401924",https://www.gem.wiki/Trans_Nigeria_Gas_Pipeline,proposed_plus
Trans Nigeria Gas Pipeline,Phase 1: Ajaokuta–Kaduna–Kano Pipeline (AKK Pipeline),gas_pipeline,,Nigerian National Petroleum Corporation [100.00%],Nigeria,construction,2,3500,,MMcf/d,line,nan,nan,"9.085473,7.401924:10.507018,7.421744:11.989088,8.534712",https://www.gem.wiki/Trans_Nigeria_Gas_Pipeline,construction_plus
Trans-Mediterranean Gas Pipeline,,gas_pipeline,,Sonatrach [100.00%]; Eni S.p.A. [unknown %]; Sotugat [unknown %],"Algeria, Croatia, Tunisia, Italy",operating,1983,33.5,,bcm/y,line,nan,nan,"32.955169,3.250837:34.173838,4.469612:34.640694,7.40084:34.768167,8.277565:34.76885,8.293916:35.24561,9.179893:37.018111,11.052761:37.668646,12.540518:37.561112,14.363294:38.272347,15.588741:39.589741,16.250925:40.266739,15.778427:41.168987,14.471725:42.362175,12.443154:43.557428,11.641763:44.607999,11.500422:45.661,12.234:46.115,13.878",https://www.gem.wiki/Trans-Mediterranean_Gas_Pipeline,operating
Trans-Sahara Gas Pipeline,,gas_pipeline,,"Niger Ministry of Petroleum, Energy and Renewable Energies [unknown %]; Nigerian National Petroleum Corporation [unknown %]; Sonatrach [unknown %]","Nigeria, Niger, Algeria",proposed,,30,,bcm/y,line,nan,nan,"5.752842677,5.265122071:6.548861573,5.142192634:7.099730869,5.857306812:8.869883232,6.743345375:11.64515672,6.718437817:18.4977969,7.488302512:22.79641022,5.036004353:26.64245287,4.646636238",https://www.gem.wiki/Trans-Sahara_Gas_Pipeline,proposed_plus
Tripoli-Mellitah Gas Pipeline,,gas_pipeline,,Libyan National Oil Corporation [100.00%],Libya,operating,,16.99,,bcm/y,line,nan,nan,"32.766323,13.424952:32.757278,13.163216:32.745216,12.93375:32.748232,12.849493:32.772353,12.763443:32.808522,12.357394:32.8763,12.205014",https://www.gem.wiki/Tripoli-Mellitah_gas_pipeline,operating
Uganda Tanzania Pipeline,,gas_pipeline,,Tanzania Petroleum Development Corporation (TPDC) [100.00%],"Uganda, Tanzania",shelved,2,,,,line,nan,nan,"-6.864931,39.202129:-5.066239,39.116753:-2.516439,32.901756:-0.747952,30.51356",https://www.gem.wiki/Tanzania_Uganda_Pipeline,shelved
Ukanafun-Calabar Gas Pipeline,,gas_pipeline,,Nigerian National Petroleum Corporation [100.00%],Nigeria,operating,2,120,,MMcf/d,line,nan,nan,"4.927,7.608:5.018,8.318",https://www.gem.wiki/Ukanafun-Calabar_Gas_Pipeline,operating
Uquo to Oron Pipeline,,gas_pipeline,,Savannah Energy [100.00%],Nigeria,operating,,,,,line,nan,nan,"4.661632284425573,8.061658008280281:4.807390498402452,8.236527337827658",https://www.gem.wiki/Uquo_to_Oron_Gas_Pipeline,operating
Wafa-Mellitah gas Pipeline,,gas_pipeline,,Eni S.p.A. [50.00%]; Libyan National Oil Corporation [50.00%],Libya,operating,2,13,,bcm/y,line,nan,nan,"28.8885,10.0235:28.9342,10.0214:29.5152,10.2986:29.7379,10.3106:29.881,10.4482:30.2409,10.5009:30.4144,10.457:30.8094,10.4849:30.9668,10.5228:31.413,10.6492:31.5677,10.7726:31.7472,10.9313:31.9329,11.0591:32.0172,11.1327:32.0685,11.2135:32.1708,11.4306:32.532,11.8116:32.6493,11.9406:32.7713,12.0253:32.8259,12.0672:32.8599,12.0866:32.9032,12.1023:32.9144,12.1141:32.8538,12.2375",https://www.gem.wiki/Wafa-Mellitah_gas_pipeline,operating
Waha-Nasser Gas Pipeline,,gas_pipeline,,Libyan National Oil Corporation [59.18%]; ConocoPhillips [16.33%]; TotalEnergies [16.33%]; Hess Corporation [8.16%],Libya,operating,,5.66,,bcm/y,line,nan,nan,"28.301594,19.922649:28.9162,19.7701",https://www.gem.wiki/Waha-Nasser_gas_pipeline,operating
